Ethnicity,Year,Region,Gender,Age,Socio-economic classification,Household income,Value
Gypsy or Irish Traveller,2015/16,England and Wales,All,16+,All,All,?
Any other White background,2015/16,England and Wales,All,16+,All,All,16.4
Mixed White and Black Caribbean,2015/16,England and Wales,All,16+,All,All,20.5
Mixed White and Black African,2015/16,England and Wales,All,16+,All,All,?
Mixed White and Asian,2015/16,England and Wales,All,16+,All,All,16.1
Any other Mixed/Multiple ethnic background,2015/16,England and Wales,All,16+,All,All,25.9
Indian,2015/16,England and Wales,All,16+,All,All,17.7
Pakistani,2015/16,England and Wales,All,16+,All,All,22.5
Bangladeshi,2015/16,England and Wales,All,16+,All,All,15.2
Chinese,2015/16,England and Wales,All,16+,All,All,16.4
Any other Asian background,2015/16,England and Wales,All,16+,All,All,15.3
Black African,2015/16,England and Wales,All,16+,All,All,18.5
Black Caribbean,2015/16,England and Wales,All,16+,All,All,15.8
Any other Black background,2015/16,England and Wales,All,16+,All,All,30.9
Arab,2015/16,England and Wales,All,16+,All,All,10.0
Any other ethnic group,2015/16,England and Wales,All,16+,All,All,21.2
Asian,2015/16,England and Wales,All,16+,All,All,18.2
All,2015/16,England and Wales,All,16-24,All,All,21.4
All,2015/16,England and Wales,All,25-34,All,All,19.6
All,2015/16,England and Wales,All,35-44,All,All,16.8
All,2015/16,England and Wales,All,45-54,All,All,16.5
All,2015/16,England and Wales,All,55-64,All,All,12.8
All,2015/16,England and Wales,All,65-74,All,All,8.8
All,2015/16,England and Wales,All,75+,All,All,5.5
All,2015/16,England and Wales,Male,16+,All,All,15.6
All,2015/16,England and Wales,Female,16+,All,All,14.9
All,2015/16,England and Wales,All,16+,Managerial and professional occupations,All,15.7
All,2015/16,England and Wales,All,16+,Intermediate occupations,All,14.3
All,2015/16,England and Wales,All,16+,Routine and manual occupations,All,14.6
All,2015/16,England and Wales,All,16+,Never worked and long-term unemployed,All,14.1
All,2015/16,England and Wales,All,16+,Full time students,All,19.8
All,2015/16,England and Wales,All,16+,Not classified,All,13.2
All,2015/16,England and Wales,All,16+,All,"Less than £10,000",14.4
All,2015/16,England and Wales,All,16+,All,"£10,000 to less than £20,000",13.8
All,2015/16,England and Wales,All,16+,All,"£20,000 to less than £30,000",14.7
All,2015/16,England and Wales,All,16+,All,"£30,000 to less than £40,000",15.5
All,2015/16,England and Wales,All,16+,All,"£40,000 to less than £50,000",16.6
All,2015/16,England and Wales,All,16+,All,"£50,000 or more",17.3
All,2015/16,England and Wales,All,16+,All,No income stated/Not enough information provided ,14.0
Black,2015/16,England and Wales,All,16+,All,All,18.6
Mixed,2015/16,England and Wales,All,16+,All,All,21.4
Other ,2015/16,England and Wales,All,16+,All,All,17.0
White,2015/16,England and Wales,All,16+,All,All,14.7
White British,2016/17,England and Wales,All,16+,All,All,13.6
White Irish,2016/17,England and Wales,All,16+,All,All,9.7
Gypsy or Irish traveller,2016/17,England and Wales,All,16+,All,All,?
Any other White background,2016/17,England and Wales,All,16+,All,All,14.2
Mixed White and Black Caribbean,2016/17,England and Wales,All,16+,All,All,20.2
Mixed White and Black African,2016/17,England and Wales,All,16+,All,All,13.5
Mixed White and Asian,2016/17,England and Wales,All,16+,All,All,17.4
Any other Mixed/Multiple ethnic background,2016/17,England and Wales,All,16+,All,All,29.3
Indian,2016/17,England and Wales,All,16+,All,All,14.7
Pakistani,2016/17,England and Wales,All,16+,All,All,15.7
Bangladeshi,2016/17,England and Wales,All,16+,All,All,19.3
Chinese,2016/17,England and Wales,All,16+,All,All,13.3
Any other Asian background,2016/17,England and Wales,All,16+,All,All,12.5
Black African,2016/17,England and Wales,All,16+,All,All,17.0
Black Caribbean,2016/17,England and Wales,All,16+,All,All,14.3
Any other Black background,2016/17,England and Wales,All,16+,All,All,22.2
Arab,2016/17,England and Wales,All,16+,All,All,18.0
Any other ethnic group,2016/17,England and Wales,All,16+,All,All,12.1
All,2016/17,England and Wales,All,16+,All,All,13.9
Asian,2016/17,England and Wales,All,16+,All,All,14.9
Black,2016/17,England and Wales,All,16+,All,All,16.6
All,2016/17,England and Wales,All,16-24,All,All,19.6
All,2016/17,England and Wales,All,25-34,All,All,16.4
All,2016/17,England and Wales,All,35-44,All,All,16.1
All,2016/17,England and Wales,All,45-54,All,All,16.2
All,2016/17,England and Wales,All,55-64,All,All,12.0
All,2016/17,England and Wales,All,65-74,All,All,7.8
All,2016/17,England and Wales,All,75+,All,All,4.9
All,2016/17,England and Wales,Male,16+,All,All,14.2
All,2016/17,England and Wales,Female,16+,All,All,13.7
All,2016/17,England and Wales,All,16+,Managerial and professional occupations,All,14.0
All,2016/17,England and Wales,All,16+,Intermediate occupations,All,13.5
All,2016/17,England and Wales,All,16+,Routine and manual occupations,All,13.4
All,2016/17,England and Wales,All,16+,Never worked and long-term unemployed,All,15.1
All,2016/17,England and Wales,All,16+,Full time students,All,18.2
All,2016/17,England and Wales,All,16+,Not classified,All,6.1
All,2016/17,England and Wales,All,16+,All,"Less than £10,000",13.9
All,2016/17,England and Wales,All,16+,All,"£10,000 to less than £20,000",13.4
All,2016/17,England and Wales,All,16+,All,"£20,000 to less than £30,000",13.8
All,2016/17,England and Wales,All,16+,All,"£30,000 to less than £40,000",14.0
All,2016/17,England and Wales,All,16+,All,"£40,000 to less than £50,000",14.6
All,2016/17,England and Wales,All,16+,All,"£50,000 or more",16.2
All,2016/17,England and Wales,All,16+,All,No income stated/Not enough information provided ,11.5
Mixed,2016/17,England and Wales,All,16+,All,All,20.3
Other,2016/17,England and Wales,All,16+,All,All,14.5
White,2016/17,England and Wales,All,16+,All,All,13.6
White British,2017/18,England and Wales,All,16+,All,All,14.0
White Irish,2017/18,England and Wales,All,16+,All,All,12.2
Gypsy or Irish traveller,2017/18,England and Wales,All,16+,All,All,?
Any other White background,2017/18,England and Wales,All,16+,All,All,15.2
Mixed White and Black Caribbean,2017/18,England and Wales,All,16+,All,All,15.6
Mixed White and Black African,2017/18,England and Wales,All,16+,All,All,16.2
Mixed White and Asian,2017/18,England and Wales,All,16+,All,All,28.6
Any other Mixed/Multiple ethnic background,2017/18,England and Wales,All,16+,All,All,25.9
Indian,2017/18,England and Wales,All,16+,All,All,15.6
Pakistani,2017/18,England and Wales,All,16+,All,All,18.2
Bangladeshi,2017/18,England and Wales,All,16+,All,All,17.9
Chinese,2017/18,England and Wales,All,16+,All,All,15.4
Any other Asian background,2017/18,England and Wales,All,16+,All,All,14.5
Black African,2017/18,England and Wales,All,16+,All,All,14.7
Black Caribbean,2017/18,England and Wales,All,16+,All,All,16.1
Any other Black background,2017/18,England and Wales,All,16+,All,All,11.6
Arab,2017/18,England and Wales,All,16+,All,All,20.5
Any other ethnic group,2017/18,England and Wales,All,16+,All,All,14.8
All,2017/18,England and Wales,All,16+,All,All,14.4
Asian,2017/18,England and Wales,All,16+,All,All,16.3
Black,2017/18,England and Wales,All,16+,All,All,14.9
Mixed,2017/18,England and Wales,All,16+,All,All,21.9
Other,2017/18,England and Wales,All,16+,All,All,16.7
White,2017/18,England and Wales,All,16+,All,All,14.1
White,"2017/18, 2018/19 and 2019/20",England and Wales,All,16+,All,All,13.9
White,"2017/18, 2018/19 and 2019/20",North East,All,16+,All,All,9.6
White,"2017/18, 2018/19 and 2019/20",Cleveland,All,16+,All,All,12.6
White,"2017/18, 2018/19 and 2019/20",Durham,All,16+,All,All,8.7
White,"2017/18, 2018/19 and 2019/20",Northumbria,All,16+,All,All,9.0
White,"2017/18, 2018/19 and 2019/20",North West,All,16+,All,All,13.0
White,"2017/18, 2018/19 and 2019/20",Cheshire,All,16+,All,All,10.5
White,"2017/18, 2018/19 and 2019/20",Cumbria,All,16+,All,All,8.8
White,"2017/18, 2018/19 and 2019/20",Greater Manchester,All,16+,All,All,15.8
White,"2017/18, 2018/19 and 2019/20",Lancashire,All,16+,All,All,11.8
White,"2017/18, 2018/19 and 2019/20",Merseyside,All,16+,All,All,13.3
White,"2017/18, 2018/19 and 2019/20",Yorkshire and the Humber,All,16+,All,All,14.1
White,"2017/18, 2018/19 and 2019/20",Humberside,All,16+,All,All,13.6
White,"2017/18, 2018/19 and 2019/20",North Yorkshire,All,16+,All,All,10.7
White,"2017/18, 2018/19 and 2019/20",South Yorkshire,All,16+,All,All,14.6
White,"2017/18, 2018/19 and 2019/20",West Yorkshire,All,16+,All,All,15.4
White,"2017/18, 2018/19 and 2019/20",East Midlands,All,16+,All,All,15.3
White,"2017/18, 2018/19 and 2019/20",Derbyshire,All,16+,All,All,13.1
White,"2017/18, 2018/19 and 2019/20",Leicestershire,All,16+,All,All,19.6
White,"2017/18, 2018/19 and 2019/20",Lincolnshire,All,16+,All,All,13.8
White,"2017/18, 2018/19 and 2019/20",Northamptonshire,All,16+,All,All,15.3
White,"2017/18, 2018/19 and 2019/20",Nottinghamshire,All,16+,All,All,15.4
White,"2017/18, 2018/19 and 2019/20",West Midlands Region,All,16+,All,All,12.5
White,"2017/18, 2018/19 and 2019/20",Staffordshire,All,16+,All,All,9.5
White,"2017/18, 2018/19 and 2019/20",Warwickshire,All,16+,All,All,13.4
White,"2017/18, 2018/19 and 2019/20",West Mercia,All,16+,All,All,11.6
White,"2017/18, 2018/19 and 2019/20",West Midlands,All,16+,All,All,14.7
White,"2017/18, 2018/19 and 2019/20",East,All,16+,All,All,14.6
White,"2017/18, 2018/19 and 2019/20",Bedfordshire,All,16+,All,All,17.7
White,"2017/18, 2018/19 and 2019/20",Cambridgeshire,All,16+,All,All,19.9
White,"2017/18, 2018/19 and 2019/20",Essex,All,16+,All,All,14.1
White,"2017/18, 2018/19 and 2019/20",Hertfordshire,All,16+,All,All,14.2
White,"2017/18, 2018/19 and 2019/20",Norfolk,All,16+,All,All,11.5
White,"2017/18, 2018/19 and 2019/20",Suffolk,All,16+,All,All,12.0
White,"2017/18, 2018/19 and 2019/20",London,All,16+,All,All,18.2
White,"2017/18, 2018/19 and 2019/20",City of London / Metropolitan Police,All,16+,All,All,18.2
White,"2017/18, 2018/19 and 2019/20",South East,All,16+,All,All,14.6
White,"2017/18, 2018/19 and 2019/20",Hampshire,All,16+,All,All,15.4
White,"2017/18, 2018/19 and 2019/20",Kent,All,16+,All,All,15.0
White,"2017/18, 2018/19 and 2019/20",Surrey,All,16+,All,All,14.9
White,"2017/18, 2018/19 and 2019/20",Sussex,All,16+,All,All,15.5
White,"2017/18, 2018/19 and 2019/20",Thames Valley,All,16+,All,All,12.6
White,"2017/18, 2018/19 and 2019/20",South West,All,16+,All,All,12.6
White,"2017/18, 2018/19 and 2019/20",Avon and Somerset,All,16+,All,All,13.9
White,"2017/18, 2018/19 and 2019/20",Devon and Cornwall,All,16+,All,All,10.8
White,"2017/18, 2018/19 and 2019/20",Dorset,All,16+,All,All,15.0
White,"2017/18, 2018/19 and 2019/20",Gloucestershire,All,16+,All,All,13.4
White,"2017/18, 2018/19 and 2019/20",Wiltshire,All,16+,All,All,10.7
White,"2017/18, 2018/19 and 2019/20",Wales,All,16+,All,All,10.7
White,"2017/18, 2018/19 and 2019/20",Dyfed-Powys,All,16+,All,All,6.1
White,"2017/18, 2018/19 and 2019/20",Gwent,All,16+,All,All,13.0
White,"2017/18, 2018/19 and 2019/20",North Wales,All,16+,All,All,7.6
White,"2017/18, 2018/19 and 2019/20",South Wales,All,16+,All,All,13.5
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",England and Wales,All,16+,All,All,20.0
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",North East,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Cleveland,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Durham,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Northumbria,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",North West,All,16+,All,All,13.7
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Cheshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Cumbria,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Greater Manchester,All,16+,All,All,19.2
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Lancashire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Merseyside,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Yorkshire and the Humber,All,16+,All,All,19.3
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Humberside,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",North Yorkshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",South Yorkshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",West Yorkshire,All,16+,All,All,15.0
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",East Midlands,All,16+,All,All,22.3
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Derbyshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Leicestershire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Lincolnshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Northamptonshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Nottinghamshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",West Midlands Region,All,16+,All,All,12.2
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Staffordshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Warwickshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",West Mercia,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",West Midlands,All,16+,All,All,18.6
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",East,All,16+,All,All,19.3
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Bedfordshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Cambridgeshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Essex,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Hertfordshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Norfolk,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Suffolk,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",London,All,16+,All,All,23.5
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",City of London / Metropolitan Police,All,16+,All,All,23.5
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",South East,All,16+,All,All,22.6
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Hampshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Kent,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Surrey,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Sussex,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Thames Valley,All,16+,All,All,12.6
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",South West,All,16+,All,All,17.7
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Avon and Somerset,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Devon and Cornwall,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Dorset,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Gloucestershire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Wiltshire,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Wales,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Dyfed-Powys,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",Gwent,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",North Wales,All,16+,All,All,?
Mixed/Multiple,"2017/18, 2018/19 and 2019/20",South Wales,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",England and Wales,All,16+,All,All,15.3
Asian/Asian British,"2017/18, 2018/19 and 2019/20",North East,All,16+,All,All,9.0
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Cleveland,All,16+,All,All,14.7
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Durham,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Northumbria,All,16+,All,All,5.3
Asian/Asian British,"2017/18, 2018/19 and 2019/20",North West,All,16+,All,All,16.4
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Cheshire,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Cumbria,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Greater Manchester,All,16+,All,All,18.5
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Lancashire,All,16+,All,All,11.2
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Merseyside,All,16+,All,All,19.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Yorkshire and the Humber,All,16+,All,All,13.5
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Humberside,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",North Yorkshire,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",South Yorkshire,All,16+,All,All,5.7
Asian/Asian British,"2017/18, 2018/19 and 2019/20",West Yorkshire,All,16+,All,All,15.2
Asian/Asian British,"2017/18, 2018/19 and 2019/20",East Midlands,All,16+,All,All,20.7
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Derbyshire,All,16+,All,All,2.0
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Leicestershire,All,16+,All,All,25.3
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Lincolnshire,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Northamptonshire,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Nottinghamshire,All,16+,All,All,27.9
Asian/Asian British,"2017/18, 2018/19 and 2019/20",West Midlands Region,All,16+,All,All,16.8
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Staffordshire,All,16+,All,All,8.3
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Warwickshire,All,16+,All,All,18.0
Asian/Asian British,"2017/18, 2018/19 and 2019/20",West Mercia,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",West Midlands,All,16+,All,All,17.9
Asian/Asian British,"2017/18, 2018/19 and 2019/20",East,All,16+,All,All,18.3
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Bedfordshire,All,16+,All,All,19.8
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Cambridgeshire,All,16+,All,All,25.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Essex,All,16+,All,All,14.0
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Hertfordshire,All,16+,All,All,18.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Norfolk,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Suffolk,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",London,All,16+,All,All,14.8
Asian/Asian British,"2017/18, 2018/19 and 2019/20",City of London / Metropolitan Police,All,16+,All,All,14.8
Asian/Asian British,"2017/18, 2018/19 and 2019/20",South East,All,16+,All,All,13.7
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Hampshire,All,16+,All,All,16.6
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Kent,All,16+,All,All,17.5
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Surrey,All,16+,All,All,13.8
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Sussex,All,16+,All,All,16.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Thames Valley,All,16+,All,All,11.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",South West,All,16+,All,All,8.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Avon and Somerset,All,16+,All,All,4.1
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Devon and Cornwall,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Dorset,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Gloucestershire,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Wiltshire,All,16+,All,All,9.8
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Wales,All,16+,All,All,14.2
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Dyfed-Powys,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",Gwent,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",North Wales,All,16+,All,All,?
Asian/Asian British,"2017/18, 2018/19 and 2019/20",South Wales,All,16+,All,All,15.9
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",England and Wales,All,16+,All,All,15.2
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",North East,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Cleveland,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Durham,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Northumbria,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",North West,All,16+,All,All,13.1
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Cheshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Cumbria,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Greater Manchester,All,16+,All,All,15.4
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Lancashire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Merseyside,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Yorkshire and the Humber,All,16+,All,All,13.3
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Humberside,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",North Yorkshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",South Yorkshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",West Yorkshire,All,16+,All,All,15.5
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",East Midlands,All,16+,All,All,20.4
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Derbyshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Leicestershire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Lincolnshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Northamptonshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Nottinghamshire,All,16+,All,All,25.4
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",West Midlands Region,All,16+,All,All,11.6
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Staffordshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Warwickshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",West Mercia,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",West Midlands,All,16+,All,All,11.6
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",East,All,16+,All,All,20.5
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Bedfordshire,All,16+,All,All,25.5
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Cambridgeshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Essex,All,16+,All,All,21.0
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Hertfordshire,All,16+,All,All,19.8
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Norfolk,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Suffolk,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",London,All,16+,All,All,15.2
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",City of London / Metropolitan Police,All,16+,All,All,15.2
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",South East,All,16+,All,All,12.3
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Hampshire,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Kent,All,16+,All,All,?
Black/African/Caribbean/Black British,"2017/18, 2018/19 and 2019/20",Surrey,All,16+,All,All,?
